SeniorCitizen,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
0,0,-0.0965540357978854,2,2,0,0,0,1,-0.31446824295036285,959,0
0,1,0.5956921474426305,0,2,0,0,0,1,1.1495749141959914,4019,1
0,1,-1.2774445836787656,0,2,0,0,0,0,-1.1486903370337564,2592,1
0,0,1.6137012404433893,2,2,2,2,2,1,0.8471278601657574,5135,0
0,1,-0.62591876415828,0,0,0,0,0,1,-0.0020504069191315333,184,1
1,0,1.5729808767233588,2,2,2,2,2,1,1.0498670941860242,5354,0
1,0,-1.2367242199587352,0,0,2,0,0,1,1.0216165451832002,1360,0
0,1,-0.21871512695797646,2,2,2,2,1,0,0.046141706085686136,1449,0
0,0,-1.2774445836787656,1,1,1,1,0,0,-1.481049737066981,1610,0
1,0,-1.2774445836787656,0,0,0,0,0,0,-0.6484894399837535,3815,0
0,1,1.6137012404433893,2,2,0,2,2,0,1.1678546811978192,5644,0
0,0,-1.1145631287986442,0,0,0,0,0,1,0.16412929309748078,2742,1
0,0,0.5549717837226001,0,0,2,0,0,1,0.33363258711442517,3073,0
0,0,0.06632741908223598,0,2,2,0,0,1,1.3822264942192488,3074,1
0,0,-0.8702409464784621,0,0,2,0,0,1,1.099721004191008,202,1
0,1,-0.9109613101984924,0,2,0,0,1,0,-0.5055748979694671,4024,0
0,1,1.5322605130033284,2,2,0,0,2,1,0.14751132309581955,4118,0
0,1,-0.62591876415828,1,1,1,1,1,0,-1.462769970065154,3572,0
0,0,1.247217966963116,2,2,2,2,2,1,0.5014740841312035,4105,0
0,0,-0.7888002190384014,2,2,0,2,0,1,0.3801629031190768,6503,0
0,0,0.6771328748826912,0,0,0,0,0,1,0.6560212051466532,3348,0
0,0,-1.2367242199587352,0,2,0,0,0,0,-0.5155456799704636,6481,0
0,0,-1.2367242199587352,0,0,0,0,0,1,0.5280628361338618,809,1
0,0,0.7992939660427822,2,0,0,2,2,1,0.4981504901308714,3599,0
0,1,1.4915401492832983,2,0,2,2,2,1,-0.020330173920958795,3625,0
1,0,0.43281069256250915,0,2,0,0,0,1,0.8471278601657574,3285,0
0,0,-0.7073594915983407,2,2,0,0,0,1,1.141265929195161,789,1
1,0,-0.30015585439803716,2,0,0,2,0,1,0.1574821050968162,1275,0
1,0,-0.9924020376385531,0,2,0,0,0,1,0.5280628361338618,5113,1
1,1,1.125056875803025,2,2,2,2,1,1,0.33529438411459117,3782,0
1,0,-0.5851984004382496,0,0,0,0,0,1,1.0199547481830342,1274,1
0,1,1.247217966963116,2,0,0,0,1,1,1.1595456961969886,5104,0
1,1,1.369379058123207,0,2,2,2,1,1,1.4520219682262263,5555,0
0,1,0.06632741908223598,1,1,1,1,2,0,-1.3231790220511994,6314,0
0,0,1.6137012404433893,0,0,2,2,2,1,1.42044782522307,5937,0
0,0,0.5956921474426305,0,0,2,0,0,1,1.1877962451998125,3985,0
0,0,1.125056875803025,0,2,0,0,0,1,0.8354952811645946,4530,0
0,0,1.6137012404433893,2,2,2,0,2,0,-0.7531826509942192,2558,0
0,1,-0.5851984004382496,0,0,2,2,1,1,-0.34438058895335305,6459,0
0,0,-0.9516816739185228,0,0,0,0,0,0,0.9850570111795457,6234,1
0,0,-1.1960038562387048,0,2,0,2,0,1,0.3502505571160864,2086,0
0,0,0.5956921474426305,0,2,0,0,1,1,0.46989994112804756,3157,0
0,0,-0.055833672077855064,0,2,2,2,2,0,0.47987072312904416,2143,0
0,1,0.7178532386027215,1,1,1,1,2,0,-1.4827115340671475,6399,0
0,0,-0.9109613101984924,2,0,2,0,0,1,0.5014740841312035,6290,0
0,0,-1.2774445836787656,0,0,0,2,0,0,-0.5221928679711283,4137,0
0,1,0.7992939660427822,1,1,1,1,1,1,-1.4744025490663168,181,0
1,1,1.2879383306831464,2,0,2,2,2,1,1.5567151792366918,5563,0
0,1,1.2064976032430856,1,1,1,1,2,1,-1.3464441800535252,785,0
0,1,-1.1960038562387048,2,0,0,2,0,1,-0.00869759491979612,1295,0
1,0,0.9621754209229036,2,2,2,0,1,0,1.5201556452330371,5009,0
0,0,0.5549717837226001,0,0,0,0,1,0,-0.3028356639492,2339,0
0,1,-0.9924020376385531,2,2,0,0,0,0,-0.33607160395252245,4071,0
1,0,-0.0965540357978854,2,2,0,0,0,1,0.3319707901142591,1742,0
0,1,0.5142514200025698,1,1,1,1,1,1,-1.2916048790480432,397,0
0,1,-1.2774445836787656,0,0,0,0,0,1,0.48485611412954227,5966,1
0,1,-0.8702409464784621,2,0,0,0,0,0,-0.47233895796614456,4676,0
0,0,-1.0331224013585834,0,0,2,0,0,1,0.34526516611558833,4199,1
0,0,0.3920903288424788,0,2,2,2,0,1,1.2974748472107767,3682,0
0,0,0.6771328748826912,1,1,1,1,2,1,-1.4827115340671475,6491,0
0,0,-0.9516816739185228,0,2,0,0,0,1,1.1479131171958254,6364,0
0,0,0.10704778280226633,2,0,0,0,1,1,-0.08680205392760396,1852,0
0,1,0.6364125111626608,1,1,1,1,2,0,-1.4660935640654862,108,0
0,1,0.5549717837226001,1,1,1,1,2,1,-1.4893587220678117,6382,0
0,0,-0.13727439951791576,0,0,0,0,0,0,-1.0307027500219619,19,0
0,1,-0.0965540357978854,0,2,2,0,0,0,0.574593152138513,2229,0
1,0,-1.2774445836787656,0,0,0,2,0,0,0.3303089931140931,5723,0
0,1,1.369379058123207,2,0,2,2,2,1,0.6394032351449919,4717,0
0,0,1.3286586944031769,2,2,2,0,0,1,1.5384354122348645,5575,0
0,0,1.6137012404433893,0,2,2,0,2,1,1.2010906212011416,5751,0
0,0,-0.8295205827584317,2,0,0,0,0,1,0.47156173812821356,6384,1
0,1,1.5729808767233588,2,2,0,2,1,1,0.06940686408801149,4018,0
0,0,-1.1145631287986442,1,1,1,1,0,0,-1.4527991880641573,252,1
0,0,0.7992939660427822,1,1,1,1,2,0,-1.4544609850643233,203,0
1,0,-0.30015585439803716,0,2,2,0,0,1,1.1213243651931677,2175,1
0,0,-1.2774445836787656,1,1,1,1,0,0,-1.481049737066981,1610,0
0,1,-1.2774445836787656,1,1,1,1,0,0,-1.505976692069473,1483,0
0,0,0.22920887396235737,0,0,2,2,1,0,1.0049985751815391,3122,0
1,0,1.369379058123207,0,2,2,0,1,0,-0.6385186579827569,2630,0
0,0,1.4508197855632678,0,2,2,2,2,1,1.503537675231376,5833,1
0,0,-1.1145631287986442,0,0,0,0,0,0,-1.3447823830533592,1,0
0,1,1.6137012404433893,2,2,0,0,1,1,1.3091074262119398,5672,0
0,0,-0.015113308357824713,2,0,0,0,1,0,-1.150352134033923,6385,0
0,0,0.43281069256250915,0,0,0,0,1,0,0.9833952141793793,3358,0
0,1,1.6137012404433893,1,1,1,1,2,0,-1.5076384890696393,658,0
0,0,0.9214550572028734,2,2,0,0,0,1,1.0631614701873533,4391,1
0,0,0.7992939660427822,2,0,2,2,1,0,-0.22639300194155818,2642,0
0,0,0.43281069256250915,0,2,2,0,0,1,0.893658176170409,3380,0
1,0,0.18848851024232702,0,0,0,0,0,1,0.39013368512007346,2475,1
0,1,1.2879383306831464,0,2,0,2,2,1,-0.33773340095268845,2967,0
0,1,-1.1960038562387048,2,2,0,0,0,0,0.8338334841644282,2128,0
0,0,0.14776814652229667,2,0,0,0,2,0,-1.1204397880309327,240,0
0,1,-0.9109613101984924,2,0,0,0,0,1,1.1794872601989819,124,1
0,0,0.35136996512244845,1,1,1,1,2,0,-1.4660935640654862,6160,0
0,1,-0.21871512695797646,0,2,0,2,0,1,0.6792863631489789,1769,0
0,1,0.9621754209229036,0,0,2,0,1,1,1.1645310871974868,4581,0
0,0,-1.0738427650786138,1,1,1,1,0,0,-1.46443176706532,230,0
0,0,-1.1960038562387048,0,0,0,0,0,1,0.32033821111309646,1931,1
0,1,-1.0331224013585834,2,0,0,0,0,0,-0.467353566965646,3039,0
0,1,-1.1552834925186746,1,1,1,1,0,0,-1.4594463760648215,5043,0
0,0,0.025607055362205634,2,0,0,2,2,1,0.8039211381614382,2632,0
1,0,-0.21871512695797646,0,0,2,0,0,1,0.44164939212522314,1755,1
0,0,1.6137012404433893,1,1,1,1,2,1,-1.3697093380558512,1228,0
0,0,-1.2774445836787656,1,1,1,1,0,0,-1.4960059100684764,1489,0
1,0,1.5729808767233588,2,2,0,0,1,1,-0.2762469119465419,3403,0
0,0,-0.7888002190384014,0,0,0,0,0,1,0.7042133181514708,394,0
0,1,-0.30015585439803716,2,2,2,0,0,1,-0.2047896409393986,912,1
0,0,1.4100994218432374,0,0,0,2,2,0,-0.47233895796614456,2837,0
0,0,-1.2774445836787656,0,0,0,0,0,1,-0.9742016520163136,3032,1
0,0,-1.2367242199587352,0,0,0,0,0,0,-0.6784017859867437,6058,1
0,0,0.43281069256250915,1,1,1,1,2,1,-1.2982520670487077,348,0
0,0,-0.38159658183809786,2,0,0,0,0,1,0.3402797751150897,1304,0
0,1,1.2879383306831464,1,1,1,1,2,0,-1.481049737066981,510,0
0,1,1.002895784642934,1,1,1,1,2,1,-1.5009913010689746,319,0
1,0,-1.2774445836787656,0,0,0,0,0,1,0.18905624809997262,5510,1
1,1,1.6137012404433893,2,2,2,2,2,1,0.7740087921584478,5173,0
0,0,-0.9924020376385531,2,0,0,2,0,0,0.21232140610229844,4664,1
0,0,1.1657772395230555,0,2,0,0,2,1,1.2060760122016398,4894,0
0,0,1.2879383306831464,2,2,0,0,1,1,0.6493740171459885,4419,0
1,0,1.5729808767233588,1,1,1,1,2,0,-1.3564149620545218,1278,0
0,1,1.3286586944031769,2,2,0,2,2,1,1.1396041321949948,5168,0
0,0,-1.1960038562387048,1,1,1,1,1,0,-1.5009913010689746,4983,0
0,0,-1.2774445836787656,0,0,0,0,0,1,-0.6351950639824246,3821,1
0,1,-0.0965540357978854,0,2,2,0,1,0,-0.00869759491979612,1528,0
0,1,-0.7073594915983407,0,2,2,2,0,1,0.1574821050968162,141,0
0,1,-0.9924020376385531,0,0,0,2,0,1,0.12590796209365976,4669,0
0,0,-1.0331224013585834,0,0,0,0,0,0,1.0049985751815391,5236,1
0,1,1.5322605130033284,2,2,2,0,1,1,1.4420511862252297,5988,0
0,1,1.2064976032430856,2,2,2,2,2,0,0.7091987091519689,4370,0
0,1,-1.0738427650786138,1,1,1,1,0,0,-1.4976677070686424,250,0
0,1,-0.748079855318371,0,0,0,0,0,1,0.5363718211346925,290,0
0,0,-0.4223169455581282,0,0,0,0,0,1,0.6443886261454905,1378,0
0,1,-0.4223169455581282,1,1,1,1,1,0,-1.4827115340671475,3583,0
0,1,-0.6666391278783103,2,0,2,0,2,0,-0.017006579920626735,51,0
0,0,-0.9109613101984924,1,1,1,1,2,0,-1.2982520670487077,2166,0
0,1,-0.7888002190384014,2,2,0,0,0,1,-0.29120308494803704,5845,0
0,0,-0.5037576729981889,2,0,0,0,0,0,0.5862257311396761,1047,1
0,0,-1.2367242199587352,0,0,0,0,0,1,0.16412929309748078,639,0
0,0,0.8400143297628127,0,2,2,2,2,1,0.30372024111143525,3383,0
0,1,-0.8702409464784621,1,1,1,1,1,0,-1.4677553610656522,1966,0
0,0,1.4915401492832983,1,1,1,1,2,0,-1.491020519067978,659,0
0,0,-1.1552834925186746,0,0,0,0,0,1,0.20401242110146783,2373,1
0,0,1.6137012404433893,2,2,2,2,2,1,0.8072447321617703,5071,0
1,0,1.0436161483629645,0,2,2,0,0,1,-0.6468276429835875,2300,1
0,1,-0.6666391278783103,1,1,1,1,0,0,-1.4744025490663168,2790,0
0,0,0.43281069256250915,2,0,2,2,1,1,0.6477122201458225,3064,0
0,0,-1.2367242199587352,0,0,2,2,0,1,1.3174164112127704,2066,1
0,0,-0.748079855318371,0,2,2,2,2,0,0.5712695581381809,339,0
0,0,0.8400143297628127,0,0,2,0,1,1,1.0000131841810405,4239,1
0,0,-0.015113308357824713,1,1,1,1,1,0,-1.4694171580658184,5230,0
0,0,0.06632741908223598,1,1,1,1,0,0,-1.33148800705203,5917,0
1,0,-0.7073594915983407,0,0,0,0,0,1,0.32200000811326246,277,1
1,0,-1.0331224013585834,2,0,0,0,0,0,0.3884718881199074,4260,1
0,1,-0.7073594915983407,0,2,2,0,0,1,1.3489905542159264,1001,0
0,0,1.1657772395230555,1,1,1,1,1,1,-1.4694171580658184,459,0
0,0,-1.2774445836787656,0,2,0,0,0,0,-1.156999322034587,2507,1
0,0,-1.2774445836787656,0,0,0,0,0,0,-0.6468276429835875,3816,0
0,0,-0.9924020376385531,0,0,0,0,0,0,0.6560212051466532,5278,1
0,1,0.025607055362205634,2,0,2,0,1,0,0.3319707901142591,2104,0
0,0,-0.7888002190384014,0,2,2,0,0,1,0.4815325201292102,216,1
0,0,-1.2774445836787656,0,0,0,0,0,1,-1.328164413051698,2044,1
0,0,-0.5037576729981889,0,2,0,0,0,1,-0.4307940329619915,48,0
0,0,-1.1960038562387048,0,0,0,2,0,0,-1.1420431490330922,6099,0
0,0,-0.7888002190384014,1,1,1,1,1,0,-1.4993295040688086,2090,0
0,0,0.3106496014024181,0,2,0,0,0,0,-0.27126152094604356,2015,0
0,1,0.43281069256250915,2,0,0,2,1,1,0.2372483611047903,2757,0
0,0,-1.0738427650786138,0,2,2,0,0,1,0.8720548151682491,4440,1
0,1,1.4915401492832983,1,1,1,1,2,0,-1.4960059100684764,678,0
0,1,1.6137012404433893,2,2,2,0,2,0,1.4935668932303794,6076,0
0,1,1.0843365120829946,1,1,1,1,2,0,-1.5109620830699715,359,0
0,0,-0.5037576729981889,2,2,0,2,0,1,1.0565142821866886,1502,0
0,1,-0.3408762181180675,1,1,1,1,2,1,-1.3514295710540236,4822,0
0,0,1.0843365120829946,0,2,2,2,0,1,1.5484061942358611,5218,0
0,1,1.6137012404433893,0,2,2,2,2,1,1.5783185402388515,6038,0
0,1,-1.2774445836787656,1,1,1,1,0,0,-1.462769970065154,1621,0
0,0,-0.21871512695797646,2,0,0,2,1,1,1.2343265612044643,2333,0
0,0,-0.748079855318371,0,2,0,2,0,1,0.5081212721318681,218,0
0,1,1.5729808767233588,2,0,2,0,2,0,1.3556377422165908,5730,0
0,1,-0.7888002190384014,0,0,0,0,0,1,0.4499583771260538,72,0
0,0,0.47353105628253944,0,0,0,0,0,0,0.13587874409465642,2552,0
0,0,0.025607055362205634,0,2,0,2,1,1,0.5047976781315361,2336,0
0,1,1.6137012404433893,2,2,2,2,2,1,-0.3094828519498643,3571,0
0,0,-1.2774445836787656,0,0,0,0,0,0,0.50313588113137,5974,1
0,0,-0.5444780367182193,2,0,2,2,0,1,1.3905354792200795,1536,1
0,0,1.2879383306831464,0,2,2,2,1,1,1.2526063282062914,5291,0
0,0,-1.2367242199587352,0,0,0,0,0,1,-0.6235624849812617,6174,1
0,0,-1.2774445836787656,0,0,0,0,0,0,-1.3132082400502028,2152,0
0,1,1.1657772395230555,1,1,1,1,2,0,-1.4960059100684764,237,0
0,1,-0.13727439951791576,1,1,1,1,1,0,-1.4876969250676457,4493,0
1,0,-0.38159658183809786,0,0,0,0,0,0,0.7324638671542947,1580,0
0,0,1.002895784642934,2,2,2,0,0,1,-0.19980424993890028,2976,0
0,1,1.6137012404433893,2,2,2,2,2,0,-0.6484894399837535,2727,0
0,0,1.369379058123207,2,2,2,2,2,1,-0.27126152094604356,3250,0
0,1,1.3286586944031769,0,2,2,2,2,1,0.6460504231456565,4450,0
0,0,-0.9924020376385531,0,0,0,0,0,1,0.5064594751317021,5063,0
0,0,-1.1552834925186746,0,0,0,0,0,1,0.179085466098976,2329,1
0,0,1.5729808767233588,1,1,1,1,2,0,-1.329826210051864,1390,0
0,1,-1.2774445836787656,1,1,1,1,1,1,-1.481049737066981,1610,0
0,0,-1.1552834925186746,0,0,0,2,0,0,-0.4889569279678058,1326,1
0,0,-0.8295205827584317,1,1,1,1,1,1,-1.5093002860698053,1807,0
0,0,-0.3408762181180675,2,0,0,0,1,1,-0.47067716096597834,525,0
0,1,-0.055833672077855064,2,0,2,2,1,1,0.544680806135523,2198,0
0,0,-1.2774445836787656,0,0,0,0,0,0,-0.31779183695069496,4560,1
0,0,-0.0965540357978854,0,0,0,2,0,1,0.8354952811645946,2365,0
0,1,0.5956921474426305,2,2,0,2,2,1,0.682609957149311,3495,0
0,0,0.880734693482843,2,2,0,2,2,1,1.437065795224731,4756,0
0,0,0.7178532386027215,2,2,0,2,0,1,0.9551446651765553,4015,0
0,0,-1.2774445836787656,2,0,0,0,0,1,0.6593447991469852,6175,1
0,0,1.6137012404433893,1,1,1,1,2,0,-1.479387940066815,1016,0
0,0,-0.13727439951791576,1,1,1,1,0,0,-1.3165318340505352,5529,0
0,0,-1.2367242199587352,0,2,0,0,0,1,-0.34438058895335305,269,1
0,0,-0.9109613101984924,0,0,0,2,2,1,-1.16863190103575,2583,0
0,0,-0.5851984004382496,0,0,0,0,0,1,0.2787932861089434,561,0
1,0,-0.8702409464784621,0,2,0,0,0,1,1.0049985751815391,231,1
0,0,-0.6666391278783103,1,1,1,1,2,0,-1.4960059100684764,2456,0
0,0,1.6137012404433893,0,2,2,2,2,0,0.7258166791536301,5128,0
0,0,1.6137012404433893,0,2,2,2,2,0,1.476948923228718,5946,0
0,1,0.35136996512244845,2,0,0,2,1,1,0.3303089931140931,2771,0
1,0,1.3286586944031769,2,2,2,0,0,0,0.9850570111795457,4999,0
1,0,-0.7888002190384014,0,2,2,0,0,1,-0.3310862129520241,5674,0
1,0,-1.1552834925186746,2,0,0,0,0,0,0.35191235411625243,2376,0
0,0,0.35136996512244845,0,0,2,0,1,0,0.00792037508186511,2187,0
1,0,-0.7073594915983407,0,2,0,0,0,1,0.32033821111309646,146,1
0,0,-1.2774445836787656,2,0,0,0,0,1,-0.5388108379727895,4051,1
0,0,0.3920903288424788,2,2,2,0,1,1,1.1379423351948288,3653,0
0,0,0.758573602322752,2,2,2,0,1,1,0.9551446651765553,3921,0
0,1,-1.2367242199587352,0,0,0,0,0,0,0.1873944510998066,864,1
1,0,-1.2774445836787656,0,2,0,0,0,0,-0.8163309370005319,3414,1
0,1,-0.015113308357824713,0,2,2,2,1,0,0.6294324531439953,2280,0
0,0,-0.9109613101984924,1,1,1,1,0,1,-1.4926823160681442,1529,0
0,1,1.4100994218432374,0,2,2,2,2,1,-0.1732154979362424,3494,0
0,1,1.1657772395230555,2,2,2,2,2,0,1.6730409692483204,5524,0
0,0,0.7178532386027215,2,2,2,2,1,0,1.6481140142458286,4775,0
0,0,-1.2367242199587352,0,0,0,0,0,1,-0.6700928009859131,6021,1
1,0,-0.13727439951791576,2,0,2,0,0,1,-0.6567984249845842,416,0
1,0,-1.1960038562387048,0,0,2,0,0,1,-0.7847567939973756,583,1
1,0,-0.7888002190384014,0,2,2,0,0,1,1.4005062612210766,660,1
1,0,1.002895784642934,0,2,0,0,0,1,0.8338334841644282,4178,0
0,0,-0.055833672077855064,2,2,0,2,2,1,-0.49560411596847015,942,0
0,0,0.5142514200025698,2,2,2,2,1,0,1.61321627724234,4263,0
0,1,1.1657772395230555,2,2,2,2,2,0,0.7756705891586139,4589,0
0,0,0.7178532386027215,1,1,1,1,2,0,-1.3248408190513656,363,0
1,0,-0.5444780367182193,2,2,0,2,0,1,1.3373579752147637,1633,0
0,0,1.0843365120829946,1,1,1,1,2,0,-1.5093002860698053,196,1
0,0,1.5729808767233588,1,1,1,1,2,1,-1.3464441800535252,1241,0
1,0,-0.6666391278783103,0,0,0,2,0,1,0.9867188081797118,930,1
0,0,1.002895784642934,2,2,0,2,2,1,-0.16656830993557784,2987,0
0,0,-1.2774445836787656,0,0,0,0,0,0,-1.328164413051698,2044,1
1,0,-0.5037576729981889,0,2,0,2,0,0,1.4054916522215746,1790,0
0,0,-1.2774445836787656,0,0,0,0,0,0,0.19404163910047073,5513,1
0,0,-1.1145631287986442,0,2,0,2,0,1,0.6859335511496436,3422,1
0,0,0.7992939660427822,0,2,2,0,0,1,1.3390197722149297,4658,1
1,0,-0.46303730927815856,2,2,0,0,0,1,0.006258578081699082,615,0
0,0,-0.748079855318371,0,0,2,2,0,1,-0.3244390249513595,5873,0
0,0,-1.1145631287986442,0,2,0,0,0,0,-0.47233895796614456,2089,0
0,0,-1.0738427650786138,2,2,0,0,0,0,-0.3194536339508612,2803,0
0,0,-0.9109613101984924,0,2,0,0,0,0,-0.4507355969639848,4212,0
0,1,-1.2774445836787656,1,1,1,1,0,0,-1.3082228490497045,2155,0
0,0,1.4508197855632678,2,0,0,0,0,0,-0.3427187919531868,3176,0
0,1,-0.5851984004382496,0,0,2,0,0,0,1.0099839661820376,1306,1
0,0,-0.4223169455581282,0,0,0,0,1,1,0.3735157151184122,1316,0
0,0,-0.5037576729981889,0,0,0,0,0,1,-0.6784017859867437,6383,0
0,0,-1.2774445836787656,0,0,0,0,0,0,0.17410007509847744,5501,1
1,0,-0.9924020376385531,0,2,0,0,0,1,0.3236618051134285,4955,1
0,0,-0.9109613101984924,0,0,0,0,0,1,-0.6617838159850825,3698,1
1,0,-0.3408762181180675,0,0,0,0,0,1,0.37683930911874425,1213,1
0,0,0.10704778280226633,2,2,2,0,1,0,-0.11837619693076015,1655,0
0,1,-0.38159658183809786,0,2,2,2,1,0,0.7324638671542947,1544,0
1,0,-1.0738427650786138,0,0,0,0,0,1,0.8172155141627669,4686,0
0,0,-0.8295205827584317,1,1,1,1,0,0,-1.4976677070686424,1823,0
0,0,-1.2774445836787656,1,1,1,1,0,0,-1.479387940066815,1611,0
0,1,1.5729808767233588,0,0,2,0,2,0,0.37517751211857825,4517,0
1,0,0.10704778280226633,0,0,2,0,0,1,1.1977670272008092,2977,0
0,1,0.3106496014024181,0,0,2,0,0,1,0.32532360211359457,2613,0
0,1,-1.2774445836787656,2,0,0,0,0,1,0.2937494591104381,5668,1
0,0,-0.38159658183809786,0,0,0,0,1,1,0.004596781081533054,922,0
1,0,-1.1552834925186746,0,0,0,0,0,1,1.0199547481830342,3387,1
0,0,-1.1552834925186746,0,0,2,2,0,1,0.8521132511662559,3083,0
0,1,1.4508197855632678,0,2,2,2,2,0,-0.14828854293375057,3498,0
0,1,0.22920887396235737,0,2,0,0,0,1,0.5679459641378485,2732,0
0,1,0.7992939660427822,1,1,1,1,2,0,-1.328164413051698,417,0
1,0,-0.015113308357824713,0,0,0,0,0,1,0.33695618111475767,1943,1
0,1,-0.13727439951791576,0,0,2,2,2,0,0.358559542116917,1683,0
1,1,0.22920887396235737,0,2,0,0,0,0,1.2093996062019723,3220,0
0,1,0.6364125111626608,2,0,2,0,1,1,0.464914550127549,3173,0
0,0,-1.2774445836787656,1,1,1,1,0,1,-1.5126238800701375,1480,0
0,0,-0.4223169455581282,2,0,0,2,0,1,0.8072447321617703,1460,0
0,0,0.43281069256250915,2,2,2,2,2,0,1.6713791722481544,4134,0
1,0,-1.1145631287986442,0,0,0,0,0,1,0.15249671409631763,2954,0
0,0,-1.1145631287986442,0,0,0,0,0,1,0.5264010391336954,3547,1
0,1,0.758573602322752,2,2,0,2,1,0,1.505199472231542,4697,0
0,0,1.5729808767233588,1,1,1,1,2,1,-1.491020519067978,643,0
0,1,0.22920887396235737,2,2,0,2,1,0,0.5164302571326987,2658,1
1,0,-0.3408762181180675,0,0,2,0,0,1,0.9435120861753926,1867,1
0,0,0.10704778280226633,0,0,0,2,0,1,0.8886727851699104,2813,0
1,0,0.880734693482843,2,2,0,2,1,0,0.5878875281398422,3700,1
0,1,1.6137012404433893,0,2,2,2,2,1,-0.1582593249347472,3633,0
0,0,-1.2774445836787656,0,0,0,0,0,1,-0.6634456129852487,3748,0
0,1,-0.9516816739185228,2,0,0,0,1,0,-0.5371490409726233,3600,0
0,0,1.4915401492832983,2,2,0,2,2,1,-0.15659752793458118,3568,0
0,0,0.7992939660427822,0,2,0,2,0,1,1.260915313207122,4322,0
1,0,-0.8702409464784621,0,0,0,2,0,1,0.6028437011413373,6284,0
1,0,-1.2367242199587352,0,0,0,0,0,1,0.1857326540996401,708,1
1,1,-0.1779947632379461,0,0,0,0,0,1,-0.9592454790148186,6494,0
1,0,-0.62591876415828,0,0,2,0,0,1,0.5945347161405068,869,0
0,1,0.10704778280226633,1,1,1,1,2,1,-1.4926823160681442,5709,0
0,0,-0.9924020376385531,1,1,1,1,1,1,-1.5142856770703037,1070,0
0,0,0.5549717837226001,0,2,2,0,1,1,1.001674981181207,3761,0
0,0,-1.0331224013585834,0,0,0,0,0,1,0.3020584441112687,4306,1
0,0,-1.2367242199587352,0,0,2,0,0,0,0.5264010391336954,988,1
0,1,1.4508197855632678,0,2,2,2,1,1,0.36686852711774764,4426,1
0,0,0.43281069256250915,0,2,2,0,2,1,1.3240635992134344,4031,1
0,0,1.4508197855632678,2,2,2,2,2,1,0.7773323861587803,5017,0
0,0,0.14776814652229667,0,2,0,0,0,1,0.9983513871808745,3087,0
0,0,1.247217966963116,0,2,2,0,0,1,1.284180471209448,5270,1
1,0,-0.015113308357824713,0,2,0,2,0,0,-0.33607160395252245,1384,0
0,0,1.5729808767233588,2,2,2,2,2,0,0.6975661301508063,5054,0
0,1,1.369379058123207,2,2,2,0,0,1,0.08934842809000525,3834,0
0,0,1.247217966963116,1,1,1,1,1,0,-1.4710789550659844,596,0
0,1,0.35136996512244845,1,1,1,1,1,1,-1.479387940066815,6250,0
1,0,-1.2774445836787656,0,0,0,0,0,1,0.2438955491054544,5622,0
0,0,-1.2367242199587352,0,0,0,0,0,1,0.8521132511662559,1169,1
0,0,1.5322605130033284,1,1,1,1,2,0,-1.505976692069473,558,0
0,0,-0.38159658183809786,0,0,0,0,0,1,-0.6584602219847502,6523,0
